2022-09-08 05:34:33,Munich,19\u00baC
2022-09-08 05:34:34,Munich,30\u00baC
2022-09-08 05:34:35,Munich,24\u00baC
2022-09-08 05:34:36,Tokyo,27\u00baC
2022-09-08 05:34:37,Pittsburgh,18\u00baC
2022-09-08 05:34:38,Pittsburgh,23\u00baC
2022-09-08 05:34:39,New York,24\u00baC
2022-09-08 05:34:40,London,21\u00baC
2022-09-08 05:34:41,Shanghai,18\u00baC
2022-09-08 05:34:42,Tokyo,28\u00baC
2022-09-08 05:35:23,London,31\u00baC
2022-09-08 05:35:24,New York,27\u00baC
2022-09-08 05:35:25,Pittsburgh,22\u00baC
2022-09-08 05:35:26,Shanghai,29\u00baC
2022-09-08 05:35:27,Pittsburgh,25\u00baC
2022-09-08 05:35:28,New York,30\u00baC
2022-09-08 05:35:29,New York,26\u00baC
2022-09-08 05:35:30,Bangalore,26\u00baC
2022-09-08 05:35:31,Shanghai,20\u00baC
2022-09-08 05:35:32,Tokyo,23\u00baC
2022-09-08 05:36:34,Pittsburgh,19\u00baC
2022-09-08 05:36:35,London,20\u00baC
2022-09-08 05:36:36,Munich,31\u00baC
2022-09-08 05:36:37,Shanghai,28\u00baC
2022-09-08 06:05:59,Tokyo,29\u00baC
2022-09-08 06:06:00,New York,27\u00baC
2022-09-08 06:06:01,New York,29\u00baC
2022-09-08 06:06:02,Bangalore,27\u00baC
2022-09-08 18:11:49,Tokyo,20\u00baC
2022-09-08 18:11:50,Tokyo,20\u00baC
2022-09-08 18:11:51,Pittsburgh,30\u00baC
2022-09-08 18:11:52,Bangalore,25\u00baC
2022-09-08 18:11:53,Pittsburgh,31\u00baC
2022-09-08 18:11:54,Pittsburgh,30\u00baC
2022-09-08 18:11:55,Pittsburgh,26\u00baC
2022-09-08 18:11:56,Tokyo,29\u00baC
2022-09-08 18:11:57,Tokyo,20\u00baC
2022-09-08 18:11:58,Pittsburgh,29\u00baC
2022-09-08 22:01:08,Pittsburgh,26\u00baC
2022-09-08 22:01:09,Pittsburgh,19\u00baC
2022-09-08 22:01:10,London,19\u00baC
2022-09-08 22:01:11,New York,30\u00baC
2022-09-08 22:01:12,Shanghai,19\u00baC
2022-09-08 22:01:13,Pittsburgh,18\u00baC
2022-09-08 22:01:14,Bangalore,29\u00baC
2022-09-08 22:01:15,Bangalore,28\u00baC
2022-09-08 22:01:16,New York,20\u00baC
2022-09-08 22:01:17,Munich,19\u00baC
2022-09-08 22:09:23,Pittsburgh,28\u00baC
2022-09-08 22:09:24,London,21\u00baC
2022-09-08 22:09:25,Munich,30\u00baC
2022-09-08 22:09:26,Munich,20\u00baC
2022-09-08 22:09:27,Tokyo,20\u00baC
2022-09-08 22:09:28,Bangalore,19\u00baC
2022-09-08 22:09:29,London,21\u00baC
2022-09-08 22:09:30,Munich,31\u00baC
2022-09-08 22:09:31,Tokyo,20\u00baC
2022-09-08 22:09:32,Tokyo,23\u00baC
